Sample.ID,Stage,Field,Blk,Topdress,fertiliser_N,soil_N,Days
407 412,Preplant,CR,4,N,0,0,0
507 512,Preplant,CR,5,N,0,0,0
607 612,Preplant,CR,6,N,0,0,0
401 406,Preplant,RF,4,N,0,0,0
501 506,Preplant,RF,5,N,0,0,0
601 606,Preplant,RF,6,N,0,0,0
407 412 PI,PI,CR,4,N,30.79131828,42.21130261,52
507 512 PI,PI,CR,5,N,32.00176562,65.04937685,52
607 612 PI,PI,CR,6,N,31.18575243,39.29406278,52
401 406 PI,PI,RF,4,N,42.75197745,66.6923076,52
501 506 PI,PI,RF,5,N,43.15319354,65.64241326,52
601 606 PI,PI,RF,6,N,43.78062888,74.2665858,52
407 412 plus H,Heading,CR,4,Y,5.582819989,30.98832504,80
507 512 plus H,Heading,CR,5,Y,8.934821974,58.14360097,80
607 612 plus H,Heading,CR,6,Y,4.929727645,41.72080773,80
401 406 plus H,Heading,RF,4,Y,12.03002165,76.47850024,80
501 506 plus H,Heading,RF,5,Y,11.46994168,71.89089747,80
601 606 plus H,Heading,RF,6,Y,13.08072719,89.9647798,80
407 412 minus H,Heading,CR,4,N,36.57054313,63.16965887,80
507 512 minus H,Heading,CR,5,N,35.86252251,93.65629417,80
607 612 minus H,Heading,CR,6,N,33.81151438,61.07136924,80
401 406 minus H,Heading,RF,4,N,32.92249163,79.90984549,80
501 506 minus H,Heading,RF,5,N,41.5696035,79.81439942,80
601 606 minus H,Heading,RF,6,N,43.55154836,104.3227358,80
407 412 plus M,Maturity,CR,4,Y,7.474726995,62.66696359,132
507 512 plus M,Maturity,CR,5,Y,9.705074686,83.8531657,132
607 612 plus M,Maturity,CR,6,Y,5.439635968,68.42402887,132
401 406 plus M,Maturity,RF,4,Y,11.26563103,98.06866219,132
501 506 plus M,Maturity,RF,5,Y,12.03229739,103.0975722,132
601 606 plus M,Maturity,RF,6,Y,13.93754335,110.7496076,132
407 412 minus M,Maturity,CR,4,N,39.12218818,97.06234098,132
507 512 minus M,Maturity,CR,5,N,33.56986943,98.58286213,132
607 612 minus M,Maturity,CR,6,N,38.07784409,92.33846607,132
401 406 minus M,Maturity,RF,4,N,41.00743648,110.5655536,132
501 506 minus M,Maturity,RF,5,N,44.62649476,101.7331538,132
601 606 minus  M,Maturity,RF,6,N,36.28885684,115.9923991,132
